"Name","Email","type"
"Lspjy, Hgrtu","HLspjy@ucdavis.edu","Faculty"
"Gmipv, Uhdqf","UGmipv@ucdavis.edu","Faculty"
"Txvfo, Urczg","UTxvfo@ucdavis.edu","Faculty"
"Fyoon, Sydoj","SFyoon@ucdavis.edu","Student"
"Nqdts, Yrcmr","YNqdts@ucdavis.edu","Faculty"
"Whkat, Nlins","NWhkat@ucdavis.edu","Student"
"Ipthp, Btrvq","BIpthp@ucdavis.edu","Student"
"Yhyql, Dowcv","DYhyql@ucdavis.edu","Faculty"
"Ooynh, Lpehz","LOoynh@ucdavis.edu","Faculty"
"Dambl, Yseti","YDambl@ucdavis.edu","Student"
"Tyhvb, Gsfap","GTyhvb@ucdavis.edu","Faculty"
"Zaybs, Znpls","ZZaybs@ucdavis.edu","Faculty"
"Isbgx, Kxovv","KIsbgx@ucdavis.edu","Student"
"Qlhsq, Xxuoe","XQlhsq@ucdavis.edu","Student"
"Laskn, Pnkfp","PLaskn@ucdavis.edu","Student"
"Okqqs, Ocoho","OOkqqs@ucdavis.edu","Faculty"
"Aktqr, Zupsi","ZAktqr@ucdavis.edu","Faculty"
"Bvcdl, Nuwic","NBvcdl@ucdavis.edu","Faculty"
"Kcpof, Iuckl","IKcpof@ucdavis.edu","Faculty"
"Rctlp, Yxjkz","YRctlp@ucdavis.edu","Student"
"Wdwdf, Vagoh","VWdwdf@ucdavis.edu","Faculty"
"Bzyeh, Odxpq","OBzyeh@ucdavis.edu","Faculty"
"Gpnkq, Uabqs","UGpnkq@ucdavis.edu","Student"
"Neoku, Riddq","RNeoku@ucdavis.edu","Faculty"
"Nxmrm, Whfcb","WNxmrm@ucdavis.edu","Faculty"
"Srsms, Sgjww","SSrsms@ucdavis.edu","Student"
"Bacea, Fvbfk","FBacea@ucdavis.edu","Faculty"
"Qbnep, Ivsxd","IQbnep@ucdavis.edu","Student"
"Csesh, Ouqix","OCsesh@ucdavis.edu","Student"
"Nfoea, Klthl","KNfoea@ucdavis.edu","Student"
"Ydgop, Talqk","TYdgop@ucdavis.edu","Faculty"
"Rizuo, Nfxsj","NRizuo@ucdavis.edu","Faculty"
"Mhtjj, Oybds","OMhtjj@ucdavis.edu","Faculty"
"Kosbe, Cjury","CKosbe@ucdavis.edu","Student"
"Gvcxd, Jhkal","JGvcxd@ucdavis.edu","Student"
"Hulog, Yekov","YHulog@ucdavis.edu","Faculty"
"Vrfby, Bfroh","BVrfby@ucdavis.edu","Student"
"Ylvtx, Abjzy","AYlvtx@ucdavis.edu","Faculty"
"Hqesm, Qcqxe","QHqesm@ucdavis.edu","Faculty"
"Qtuot, Wcvsv","WQtuot@ucdavis.edu","Faculty"
"Syzhw, Nzpgd","NSyzhw@ucdavis.edu","Faculty"
