"Name","Email","Faculty.Member.1","Faculty.Member.2","Faculty.Member.3","Faculty.Member.4","Faculty.Member.5","Faculty.Member.6"
"al-Javid, Faatin","fal-javid@whatever.com","Ali, Matthew","Munsey, Connor","Butler, Malik","Caldwell, Marisa",NA,NA
"Rawlings, Jordan","jrawlings@whatever.com","Macneilly, Angelique","Baker, Adriana","Hyatt, Dakota",NA,NA,NA
"Zhen, Tony","tzhen@whatever.com","Evans, Antwon","Chacon, Ceedric","Russell, Jasmine","Chavez, Naomi",NA,"Lastrella, Ninna"
"Cox-Robinson, Kiyontus","kcox-robinson@whatever.com","Caldwell, Marisa","Slatten, Cooper","Kitayama, Justin","Macneilly, Angelique",NA,"Munsey, Connor"
"al-Awan, Nawaal","nal-awan@whatever.com","Jackson, Janelle","Quach, Summer",NA,"Lor, Madeline",NA,NA
"Charley, Justin","jcharley@whatever.com","Arritola, Leydi","el-Ahsan, Sundus","Yancy, Brandon",NA,"Herrera, Marina",NA
"al-Baten, Raita","ral-baten@whatever.com","Strauss-Subia, Carlee","Buice, Joy","Slatten, Cooper",NA,"Johnson, Spencer",NA
"Lee, Charles","clee@whatever.com","Fuentes, Eduardo","Lalria, Tylor","Olsen, Vy",NA,NA,NA
"Romero, Summer","sromero@whatever.com","Quach, Summer","Butler, Malik","Chavez, Naomi",NA,NA,NA
"Montgomery, Adriena","amontgomery@whatever.com","Vang, Baosan","Buice, Joy","el-Ahsan, Sundus","Felix, Alexis","Sands, Srish",NA
"el-Nawaz, Ghaaliba","gel-nawaz@whatever.com","Chavez, Naomi","Lapaz, Jesse",NA,NA,"Sands, Srish",NA
"Turner, Christian","cturner@whatever.com","Olsen, Vy","Lastrella, Ninna","Vang, Baosan",NA,NA,"Buice, Joy"
"Lozano-Garcia, Jordan","jlozano-garcia@whatever.com","Crowghost, Zachary","Crowghost, Zachary",NA,NA,"Mcfalls, Kizmaya","Carlson, Lukas"
"Estrada Ayala, Gregory","gestrada ayala@whatever.com","Crowghost, Zachary","el-Ghanem, Zumruda","Herrera, Marina","Sullivan, Kate",NA,NA
"O'Hearne, Parker","po'hearne@whatever.com","Chavez, Naomi","Strauss-Subia, Carlee","Vidales-Gallegos, Paris",NA,NA,"Ortiz, Robert"
"Fields, Rashiah","rfields@whatever.com","Lastrella, Ninna","Butler, Malik","Herrera, Marina","Slatten, Cooper",NA,"Mannon, Thomas"
"Hughes, Thailia","thughes@whatever.com","Lundstrom, Sean","el-Samad, Tawheed","el-Edris, Tahiyya","Vang, Baosan","Chacon, Ceedric",NA
"Samaniego, Jesus","jsamaniego@whatever.com","Butler, Malik","Ali, Matthew","Wirsching, Wyatt",NA,NA,NA
"Dotson, Demetrious","ddotson@whatever.com","Lapaz, Jesse","Eilers, Michael","el-Edris, Tahiyya","Yancy, Brandon",NA,NA
"Duong, Henry","hduong@whatever.com","Martinez-Alcon, William","Sullivan, Kate","Russell, Jasmine",NA,"Cheatham, Reneka",NA
"Blackwater, Cinead","cblackwater@whatever.com","Munsey, Connor","Sapp, Rachel","Vidales-Gallegos, Paris",NA,NA,"Melphy, Brenden"
"Manley, Kristopher","kmanley@whatever.com","Ortiz, Robert","Macneilly, Angelique","Mada, Colby",NA,"Halaseh, Jared","Vang, Baosan"
"Wade, Fred","fwade@whatever.com","Lalria, Tylor","el-Baig, Hamdoona","Lastrella, Ninna",NA,"Ortiz, Robert",NA
"Sarwana, Melina","msarwana@whatever.com","Sapp, Rachel","Vidales-Gallegos, Paris",NA,NA,"Rouze, Christina","Ortiz, Robert"
"Davis, Te'Nisha","tdavis@whatever.com","el-Samad, Tawheed","Sands, Srish","Melphy, Brenden",NA,"Mada, Colby","Riser, Elijah"
"Romero, Lisbet","lromero@whatever.com","Hyatt, Dakota","Herrera, Marina","Wirsching, Wyatt",NA,NA,NA
"Deherrera, Nicole","ndeherrera@whatever.com","Rouze, Christina","Ali, Matthew",NA,NA,NA,"Lor, Madeline"
"Leanos, Jalessa","jleanos@whatever.com","al-Dada,  Sakeena","Arritola, Leydi","Yancy, Brandon","Vidales-Gallegos, Paris",NA,NA
"Lai Zhou, Ka","klai zhou@whatever.com","Sands, Srish","Melphy, Brenden","Sullivan, Kate",NA,NA,NA
"Hilton, Jordon","jhilton@whatever.com","Crowghost, Zachary","Vang, Baosan","Martinez-Alcon, William",NA,NA,"Caldwell, Marisa"
"Zheng, Haley","hzheng@whatever.com","Rouze, Christina","Riser, Elijah","Lapaz, Jesse","el-Habibi, Farhaana","Sullivan, Kate",NA
"Gutierrez, Lynette","lgutierrez@whatever.com","Cochran, Patric","Reynolds, Selamawit","Halaseh, Jared","Martinez-Alcon, William",NA,NA
"Mayden, Edna","emayden@whatever.com","el-Edris, Tahiyya","Munsey, Connor","Olsen, Vy","Carlson, Lukas","Lastrella, Ninna",NA
"el-Nouri, Wajdiyya","wel-nouri@whatever.com","Melphy, Brenden","Lapaz, Jesse",NA,NA,"Lalria, Tylor",NA
"Parker, Donovon","dparker@whatever.com","Strauss-Subia, Carlee","Pham, Sandra",NA,"Buice, Joy",NA,NA
"Lee, Benjamin","blee@whatever.com","Munsey, Connor","al-Maroun, Najma","Vidales-Gallegos, Paris","el-Ghanem, Zumruda",NA,NA
"el-Chahine, Shakeela","sel-chahine@whatever.com","Housley, Demetrius","al-Maroun, Najma","Herrera, Marina","Poloa, Brian","Melphy, Brenden",NA
"Ortega, Joshua","jortega@whatever.com","Slatten, Cooper","Buice, Joy","Olsen, Vy",NA,NA,NA
"Agard, Stephanie","sagard@whatever.com","Arritola, Leydi","Lundstrom, Sean","Evans, Antwon",NA,NA,NA
"Banuelos-Rivas, Denisse","dbanuelos-rivas@whatever.com","el-Edris, Tahiyya","Lundstrom, Sean","Allen, Brianna",NA,"el-Guler, Shaahida",NA
"Lathan, Rhemi","rlathan@whatever.com","Jackson, Dominick","Sands, Srish","Russell, Jasmine","Sapp, Rachel","Carlson, Lukas","Cochran, Patric"
"Mishenko, Arturo","amishenko@whatever.com","el-Habibi, Farhaana","Melphy, Brenden","Mannon, Thomas","Eilers, Michael","Housley, Demetrius",NA
"Ruybalid, Shelbie","sruybalid@whatever.com","Melphy, Brenden","Zavala, Dominic","Cheatham, Reneka","Rouze, Christina",NA,NA
"Pavlovsky, Tavaughn","tpavlovsky@whatever.com","Baker, Adriana","Crowghost, Zachary","Strauss-Subia, Carlee","Sullivan, Kate","Slatten, Cooper",NA
"Dillard, Sierra","sdillard@whatever.com","Cheatham, Reneka","Martinez Casas, Thomas","Wirsching, Wyatt","Vidales-Gallegos, Paris","Poloa, Brian","el-Habibi, Farhaana"
"Lial, Tasina","tlial@whatever.com","Martinez Casas, Thomas","Jackson, Dominick","Ortiz, Robert","Martinez Casas, Thomas",NA,"Allen, Brianna"
"Tran, Annemarie","atran@whatever.com","Allen, Brianna","Lor, Madeline",NA,NA,"Hyatt, Dakota",NA
"Weasel Bear, Daniel","dweasel bear@whatever.com","Mcfalls, Kizmaya","Jackson, Janelle",NA,"Kitayama, Justin",NA,NA
"Brito, Janea","jbrito@whatever.com","el-Baig, Hamdoona","el-Edris, Tahiyya","Lapaz, Jesse","Morales, Marisol","Munsey, Connor","Buice, Joy"
"Kills In Sight, Jacob","jkills in sight@whatever.com","Rouze, Christina","Olsen, Vy","Poloa, Brian",NA,NA,NA
"Schneider, Deja","dschneider@whatever.com","el-Ghanem, Zumruda","Housley, Demetrius","Rouze, Christina","Melphy, Brenden","Lalria, Tylor",NA
"el-Salah, Azeeza","ael-salah@whatever.com","Crowghost, Zachary","al-Dada,  Sakeena","Sands, Srish","Jackson, Janelle","Melphy, Brenden","Lalria, Tylor"
"Logan, Kristina","klogan@whatever.com","Martinez Casas, Thomas","Lastrella, Ninna","Lalria, Tylor",NA,"el-Ahsan, Sundus",NA
"Silos, Mareena","msilos@whatever.com","Sands, Srish","Crowghost, Zachary","Russell, Jasmine",NA,NA,NA
"Morris, Atif","amorris@whatever.com","Riser, Elijah","Lundstrom, Sean","Chasteen, Kyli",NA,NA,NA
"Martinez, Derek","dmartinez@whatever.com","Russell, Jasmine","Jackson, Dominick","el-Ahsan, Sundus",NA,"Navarro, Luis","Halaseh, Jared"
"Beck, Katryna","kbeck@whatever.com","Mannon, Thomas","Chasteen, Kyli","Lastrella, Ninna",NA,NA,NA
"Gullatt, Josiah","jgullatt@whatever.com","Hyatt, Dakota","el-Ghanem, Zumruda","Sapp, Rachel","Cheatham, Reneka",NA,"Vidales-Gallegos, Paris"
"Dominguez, Diana","ddominguez@whatever.com","Lalria, Tylor","Johnson, Spencer","Ortiz, Robert",NA,NA,"Johnson, Spencer"
"Vue, Bailey","bvue@whatever.com","el-Habibi, Farhaana","Lastrella, Ninna",NA,"Macneilly, Angelique","Halaseh, Jared","el-Habibi, Farhaana"
"el-Huda, Jaarallah","jel-huda@whatever.com","el-Guler, Shaahida","Chavez, Naomi","Housley, Demetrius",NA,NA,NA
"al-Sader, Zubair","zal-sader@whatever.com","Russell, Jasmine","Munsey, Connor","Chavez, Naomi","Olsen, Vy",NA,NA
"Legg, Dakota","dlegg@whatever.com","Lastrella, Ninna","Ali, Matthew","Fuentes, Eduardo",NA,NA,"Strauss-Subia, Carlee"
"Bravo, Tyler","tbravo@whatever.com","el-Edris, Tahiyya","Chavez, Naomi","Zavala, Dominic",NA,NA,NA
"Stauter, Wesley","wstauter@whatever.com","al-Shaban, Sanad","Vidales-Gallegos, Paris",NA,NA,"Buice, Joy",NA
"Boigenzahn, Lauren","lboigenzahn@whatever.com","Russell, Jasmine","Buice, Joy",NA,NA,NA,NA
"al-Masri, Saara","sal-masri@whatever.com","Buice, Joy","Housley, Demetrius","Munsey, Connor",NA,"al-Dada,  Sakeena",NA
"Mendoza, Hannah","hmendoza@whatever.com","al-Maroun, Najma","Halaseh, Jared","Cochran, Patric","Olsen, Vy",NA,NA
"Burgdorff, Alejandro","aburgdorff@whatever.com","Russell, Jasmine","Mannon, Thomas","Cheatham, Reneka",NA,NA,"Fuentes, Eduardo"
"Sarabia Rios, Ricardo","rsarabia rios@whatever.com","Quach, Summer","Riser, Elijah","Kitayama, Justin","Mada, Colby",NA,"el-Samad, Tawheed"
"Marrs, Caigen","cmarrs@whatever.com","Sands, Srish","Mannon, Thomas","Russell, Jasmine",NA,NA,NA
"Richardson, Jenelle","jrichardson@whatever.com","Lastrella, Ninna","Poloa, Brian","Lundstrom, Sean","Sudaria, Tanandorn","Sullivan, Kate","Riser, Elijah"
"Johnson, Levi","ljohnson@whatever.com","Strauss-Subia, Carlee","Baker, Adriana","Hyatt, Dakota",NA,NA,"al-Maroun, Najma"
"al-Waheed, Himma","hal-waheed@whatever.com","Mannon, Thomas","el-Edris, Tahiyya","Mannon, Thomas",NA,NA,"Eilers, Michael"
"Mcquown, Malia","mmcquown@whatever.com","Ali, Matthew","Kitayama, Justin","Ortiz, Robert","Kitayama, Justin","Jackson, Janelle","Vidales-Gallegos, Paris"
"Elliott, Isaac","ielliott@whatever.com","Martinez Casas, Thomas","Lapaz, Jesse","Jackson, Dominick","Vang, Baosan",NA,"Slatten, Cooper"
"Watkins, Eli","ewatkins@whatever.com","Melphy, Brenden","Martinez Casas, Thomas","Vang, Baosan",NA,NA,NA
"Gomez, Yesenia","ygomez@whatever.com","Mannon, Thomas","Russell, Jasmine","Lastrella, Ninna","Felix, Alexis",NA,NA
"Rundle, Jeremy","jrundle@whatever.com","Ortiz, Robert","Sapp, Rachel","Navarro, Luis",NA,NA,"Eilers, Michael"
"Jones, Daniela","djones@whatever.com","Johnson, Spencer","Chasteen, Kyli","Arritola, Leydi",NA,"Lastrella, Ninna",NA
"Schloegl, Bryce","bschloegl@whatever.com","el-Ahsan, Sundus","Strauss-Subia, Carlee","Herrera, Marina",NA,"Chacon, Ceedric",NA
"Radebaugh, Kayla","kradebaugh@whatever.com","Macneilly, Angelique","Reynolds, Selamawit","al-Dada,  Sakeena","Vang, Baosan",NA,"Evans, Antwon"
"Foster, Nichelle","nfoster@whatever.com","Cochran, Patric","Navarro, Luis","Lor, Madeline",NA,"Sullivan, Kate",NA
"Nayak, Emily","enayak@whatever.com","Munsey, Connor","Sudaria, Tanandorn","Felix, Alexis",NA,"Felix, Alexis",NA
"el-Nasrallah, Nadeem","nel-nasrallah@whatever.com","Riser, Elijah","Lapaz, Jesse","Mada, Colby",NA,NA,"Ortiz, Robert"
"Hobbs, Kristina","khobbs@whatever.com","Martinez Casas, Thomas","Sullivan, Kate","Zavala, Dominic","Sullivan, Kate","Lalria, Tylor",NA
"Boyer, Filitaa","fboyer@whatever.com","el-Guler, Shaahida","Vang, Baosan","Herrera, Marina",NA,"Chavez, Naomi","Johnson, Spencer"
"Llamas, Jessica","jllamas@whatever.com","Lor, Madeline","Felix, Alexis","Allen, Brianna",NA,NA,NA
"Andrews, Zachery","zandrews@whatever.com","Strauss-Subia, Carlee","Lapaz, Jesse","Mcfalls, Kizmaya",NA,NA,NA
"Berhane, Taylor","tberhane@whatever.com","al-Dada,  Sakeena",NA,"el-Baig, Hamdoona",NA,NA,NA
"al-Bagheri, Shujaa","sal-bagheri@whatever.com","Lastrella, Ninna","Allen, Brianna",NA,NA,"Jackson, Dominick",NA
"Huynh, Nicholas","nhuynh@whatever.com","Chavez, Naomi",NA,"al-Shaban, Sanad","Evans, Antwon",NA,"Quach, Summer"
"Leyba, Serenity","sleyba@whatever.com","Mannon, Thomas",NA,"Arritola, Leydi",NA,NA,"Martinez Casas, Thomas"
"Ortiz, Siara","sortiz@whatever.com","Carlson, Lukas","Vang, Baosan","al-Shaban, Sanad","al-Maroun, Najma",NA,NA
"al-Farha, Faseeha","fal-farha@whatever.com","Lastrella, Ninna","Russell, Jasmine","Lor, Madeline",NA,"Butler, Malik","Kitayama, Justin"
"Babbs, Saba","sbabbs@whatever.com","Herrera, Marina","al-Dada,  Sakeena","Jackson, Dominick","al-Dada,  Sakeena",NA,NA
"Hernandez, Ashley","ahernandez@whatever.com","Lapaz, Jesse","Johnson, Spencer","Zavala, Dominic",NA,"Buice, Joy",NA
"al-Nazir, Qisma","qal-nazir@whatever.com","Buice, Joy","Allen, Brianna","Eilers, Michael",NA,"Vidales-Gallegos, Paris","Sapp, Rachel"
"Hornbuckle, Dabreona","dhornbuckle@whatever.com","Johnson, Spencer","el-Ahsan, Sundus","al-Maroun, Najma",NA,"Mannon, Thomas",NA
"el-Majid, Muneeb","mel-majid@whatever.com","Lastrella, Ninna","Olsen, Vy","el-Baig, Hamdoona",NA,NA,NA
"Tahlo, Emma","etahlo@whatever.com","Lalria, Tylor","Fuentes, Eduardo","el-Baig, Hamdoona",NA,NA,NA
"Gardner, Martin","mgardner@whatever.com","Quach, Summer",NA,"Allen, Brianna",NA,NA,"Chasteen, Kyli"
"Garcia, Justin","jgarcia@whatever.com","Jackson, Janelle","Kitayama, Justin","Eilers, Michael",NA,"Wallace, Andrew","Vang, Baosan"
"Flores Alvidrez, James","jflores alvidrez@whatever.com","Poloa, Brian","Housley, Demetrius","Halaseh, Jared",NA,NA,"el-Samad, Tawheed"
"Hoffmann, Aivan Thomas","ahoffmann@whatever.com","Navarro, Luis","Eilers, Michael","Reynolds, Selamawit",NA,NA,NA
"York, Danni","dyork@whatever.com","Kitayama, Justin","Russell, Jasmine","Eilers, Michael","Crowghost, Zachary",NA,"Melphy, Brenden"
"Shangreaux, Monique","mshangreaux@whatever.com","Yancy, Brandon","Mcfalls, Kizmaya","Mada, Colby","Navarro, Luis","Ali, Matthew",NA
"Rodriguez, Ryan","rrodriguez@whatever.com","Lapaz, Jesse","Mada, Colby","Ortiz, Robert",NA,"Hyatt, Dakota","Mcfalls, Kizmaya"
"Garcia, Waynoka","wgarcia@whatever.com","Baker, Adriana","Lalria, Tylor","Wirsching, Wyatt",NA,NA,"Riser, Elijah"
"Dakos, Tmorchi","tdakos@whatever.com","Russell, Jasmine","Mannon, Thomas","Munsey, Connor","Felix, Alexis",NA,"Sapp, Rachel"
"Smith, Monteay","msmith@whatever.com","Baker, Adriana","Felix, Alexis","Jackson, Janelle","Chavez, Naomi",NA,"Pham, Sandra"
"Galera, Lee","lgalera@whatever.com","al-Shaban, Sanad","Chacon, Ceedric","Vang, Baosan",NA,"Pham, Sandra",NA
"Sinath, Julie","jsinath@whatever.com","Olsen, Vy","Pham, Sandra","el-Samad, Tawheed",NA,"Quach, Summer","Johnson, Spencer"
"el-Othman, Shameem","sel-othman@whatever.com","Evans, Antwon","Crowghost, Zachary",NA,NA,NA,NA
"el-Hakeem, Zaamil","zel-hakeem@whatever.com","Cochran, Patric","Chavez, Naomi","Melphy, Brenden",NA,"Crowghost, Zachary",NA
"Mahan, James","jmahan@whatever.com","Kitayama, Justin","Carlson, Lukas",NA,NA,NA,"Lastrella, Ninna"
"Cowart, Ca'La","ccowart@whatever.com","Cochran, Patric","Chavez, Naomi","Wirsching, Wyatt",NA,NA,NA
"Le, Deanna","dle@whatever.com","Quach, Summer","Riser, Elijah","Yancy, Brandon","Vang, Baosan","Lundstrom, Sean","Zavala, Dominic"
"Johnson, Corey","cjohnson@whatever.com","Johnson, Spencer","Evans, Antwon","al-Maroun, Najma",NA,"Chacon, Ceedric","Allen, Brianna"
"Lovett, Kaela","klovett@whatever.com","Zavala, Dominic","Sudaria, Tanandorn","Reynolds, Selamawit",NA,NA,NA
"al-Adel, Raheema","ral-adel@whatever.com","Eilers, Michael","al-Dada,  Sakeena","Jackson, Dominick","al-Shaban, Sanad",NA,NA
"Williams, Marcus","mwilliams@whatever.com","Melphy, Brenden","Riser, Elijah","Riser, Elijah",NA,"Olsen, Vy",NA
"Umemura, Chaelene","cumemura@whatever.com","Reynolds, Selamawit","Buice, Joy","al-Maroun, Najma","Felix, Alexis",NA,NA
"Goddard, Austin","agoddard@whatever.com","Martinez Casas, Thomas","Lalria, Tylor","Macneilly, Angelique","Eilers, Michael",NA,NA
"Puebla, Martin","mpuebla@whatever.com","Herrera, Marina","Chasteen, Kyli","el-Samad, Tawheed","Mada, Colby","Allen, Brianna","Wirsching, Wyatt"
"Hart, Jaslyn","jhart@whatever.com","Rouze, Christina","Macneilly, Angelique",NA,NA,NA,NA
"al-Ammar, Ramziyya","ral-ammar@whatever.com","Riser, Elijah","Allen, Brianna","Yancy, Brandon","al-Shaban, Sanad",NA,NA
"Siewiyumptewa, Ruby","rsiewiyumptewa@whatever.com","Cheatham, Reneka","Evans, Antwon","Hyatt, Dakota",NA,"Quach, Summer","Johnson, Spencer"
"Price, Takesha","tprice@whatever.com","Chasteen, Kyli","Mannon, Thomas","Rouze, Christina",NA,NA,NA
"el-Abdelrahman, Shukri","sel-abdelrahman@whatever.com","Lor, Madeline","Sapp, Rachel","Evans, Antwon",NA,"el-Habibi, Farhaana",NA
"Amerson, Scheridan","samerson@whatever.com","Sapp, Rachel","Jackson, Dominick","Lor, Madeline",NA,NA,NA
"Miller, Ariel","amiller@whatever.com","Martinez-Alcon, William","Mcfalls, Kizmaya","Sands, Srish",NA,NA,"Sands, Srish"
"Cunningham, Ajunae","acunningham@whatever.com","Fuentes, Eduardo","Caldwell, Marisa",NA,NA,"al-Shaban, Sanad","Poloa, Brian"
"Nguyen, Min","mnguyen@whatever.com","Mada, Colby","Riser, Elijah","al-Dada,  Sakeena",NA,"Melphy, Brenden",NA
"Maxie, Ezana","emaxie@whatever.com","Cheatham, Reneka","Chacon, Ceedric","Housley, Demetrius",NA,NA,NA
"el-Hamady, Shahaama","sel-hamady@whatever.com","Russell, Jasmine","Pham, Sandra","Wallace, Andrew","Morales, Marisol",NA,NA
"Chuong, Athena","achuong@whatever.com","Russell, Jasmine","el-Habibi, Farhaana","el-Guler, Shaahida","Caldwell, Marisa",NA,NA
"Macias, Leslie","lmacias@whatever.com","Lastrella, Ninna","Riser, Elijah",NA,NA,NA,NA
"Camack, Paul","pcamack@whatever.com","Russell, Jasmine","Cheatham, Reneka","Ali, Matthew",NA,"Butler, Malik",NA
"Pino, Willow","wpino@whatever.com","Navarro, Luis","Slatten, Cooper","Wirsching, Wyatt","Munsey, Connor","al-Shaban, Sanad","el-Edris, Tahiyya"
"Martinez, Deirdra","dmartinez@whatever.com","Evans, Antwon","Chavez, Naomi","Rouze, Christina","Halaseh, Jared",NA,"el-Ahsan, Sundus"
"Garcia-Kapaun, John","jgarcia-kapaun@whatever.com","el-Ahsan, Sundus","Strauss-Subia, Carlee","Hyatt, Dakota",NA,NA,NA
"el-Pour, Fakeeha","fel-pour@whatever.com","Carlson, Lukas","Strauss-Subia, Carlee","Fuentes, Eduardo","el-Samad, Tawheed",NA,NA
"el-Reza, Saamir","sel-reza@whatever.com","Halaseh, Jared","Baker, Adriana","Kitayama, Justin",NA,NA,"el-Baig, Hamdoona"
"Hunter, Warren","whunter@whatever.com","Olsen, Vy","Evans, Antwon","Jackson, Janelle","el-Ahsan, Sundus",NA,NA
"Lopez-Ortiz, Christopher","clopez-ortiz@whatever.com","Olsen, Vy","Ali, Matthwe","Mada, Colby",NA,NA,"Evans, Antwon"
"Phan, Patrick","pphan@whatever.com","Hyatt, Dakota","Lundstrom, Sean","Martinez Casas, Thomas","Mannon, Thomas",NA,"Rouze, Christina"
"Mcconico, Cl","cmcconico@whatever.com","Halaseh, Jared","Eilers, Michael","Quach, Summer","el-Habibi, Farhaana",NA,"Yancy, Brandon"
"Vandersluis, Amber","avandersluis@whatever.com","Sands, Srish","Sapp, Rachel","Lapaz, Jesse",NA,NA,NA
"el-Hashem, Shaamil","sel-hashem@whatever.com","Chasteen, Kyli",NA,"Russell, Jasmine",NA,NA,NA
"Mauga, Esther","emauga@whatever.com","Chavez, Naomi","Lalria, Tylor","Chasteen, Kyli",NA,NA,NA
"Chu, Sanate","schu@whatever.com","el-Guler, Shaahida","Lastrella, Ninna","Melphy, Brenden",NA,"Macneilly, Angelique",NA
"al-Khalil, Salmaan","sal-khalil@whatever.com","Ali, Matthew","Reynolds, Selamawit","Halaseh, Jared",NA,"Rouze, Christina",NA
"Kunzman, Hakeem","hkunzman@whatever.com","Vang, Baosan","Carlson, Lukas","el-Ahsan, Sundus","Russell, Jasmine","Mannon, Thomas",NA
"Tootle, Gavin","gtootle@whatever.com","Sands, Srish","Lalria, Tylor","el-Ghanem, Zumruda","Olsen, Vy","Strauss-Subia, Carlee",NA
"Harris, Brandon","bharris@whatever.com","Martinez Casas, Thomas","Lalria, Tylor","al-Maroun, Najma",NA,"Riser, Elijah",NA
"Madera, Aimee","amadera@whatever.com","Cheatham, Reneka","Sudaria, Tanandorn","Quach, Summer","Mada, Colby","Munsey, Connor","Chacon, Ceedric"
"Ho, Jumana","jho@whatever.com","Morales, Marisol","Sullivan, Kate","Evans, Antwon","Reynolds, Selamawit","el-Edris, Tahiyya",NA
"Lopez, Herson","hlopez@whatever.com","Evans, Antwon","Melphy, Brenden","Pham, Sandra",NA,NA,NA
"Spore, Von Buddenbrock","vspore@whatever.com","Navarro, Luis","Vang, Baosan","Butler, Malik",NA,"Pham, Sandra",NA
"Paudel, Alexis","apaudel@whatever.com","Jackson, Janelle","al-Shaban, Sanad","Carlson, Lukas",NA,"Olsen, Vy",NA
"Lucero, Brandon","blucero@whatever.com","Martinez-Alcon, William","Navarro, Luis","Olsen, Vy","Wallace, Andrew","Slatten, Cooper",NA
"el-Ghani, Saadiq","sel-ghani@whatever.com","Quach, Summer","Buice, Joy","Eilers, Michael",NA,NA,NA
"Kersey, Naim","nkersey@whatever.com","Rouze, Christina","el-Samad, Tawheed","Lor, Madeline","Jackson, Janelle",NA,"Lundstrom, Sean"
"al-Aydin, Mu'hsina","mal-aydin@whatever.com","Cheatham, Reneka","al-Shaban, Sanad","Evans, Antwon",NA,NA,NA
"Mrotek, August","amrotek@whatever.com","el-Ghanem, Zumruda","Arritola, Leydi","Sullivan, Kate","Arritola, Leydi",NA,"Housley, Demetrius"
"Reat, Aaliyah","areat@whatever.com","Martinez-Alcon, William","Wirsching, Wyatt","Sands, Srish","Vang, Baosan","Caldwell, Marisa",NA
"Delgado, Zachary","zdelgado@whatever.com","Lundstrom, Sean","al-Shaban, Sanad","Halaseh, Jared",NA,NA,NA
